"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"a549","chr3-38495333-38495386_03","ENSG00000187091",0.018,42,324,0.806,1.218,0.877
"a549","chr3-38495333-38495386_04","ENSG00000187091",0.018,41,407,1.081,2.48,1.055
"a549","chr3-186288330-186288444_02","ENSG00000163918",0.369,28,230,0.947,0.951,0.842
"a549","chr3-186288330-186288444_05","ENSG00000163918",0.365,88,113,0.793,1.09,0.894
"a549","chr3-186288330-186288444_11","ENSG00000163918",0.368,61,346,0.96,0.847,1.006
"a549","chr3-186501085-186501132_01","ENSG00000163918",0.364,103,148,1.112,1.127,1.027
"a549","chr3-186501085-186501132_02","ENSG00000163918",0.37,30,428,1.003,0.943,1.12
"a549","chr3-186501085-186501132_03","ENSG00000163918",0.369,33,277,1.026,0.742,0.821
"a549","chr3-186501085-186501132_04","ENSG00000163918",0.367,85,195,0.991,1.001,1.003
"a549","chr3-186501085-186501132_05","ENSG00000163918",0.366,30,466,0.981,0.951,0.939
"a549","chr3-196359202-196359203_04","ENSG00000174013",0.172,176,41,1.115,1.109,1.124
"a549","chr3-196359202-196359203_07","ENSG00000174013",0.172,28,310,1.121,1.664,1.112
"a549","chr4-1580944-1581089_01","ENSG00000168924",0.269,105,180,0.989,0.933,0.762
"a549","chr4-1580944-1581089_02","ENSG00000168924",0.269,36,482,0.932,0.81,0.96
"a549","chr4-1580944-1581089_03","ENSG00000168924",0.27,55,195,0.964,0.825,0.958
"a549","chr4-1580944-1581089_04","ENSG00000168924",0.263,25,456,0.921,0.839,0.916
"a549","chr4-1580944-1581089_05","ENSG00000168924",0.268,143,89,0.873,0.917,0.931
"a549","chr4-81991102-81991103_03","ENSG00000163297",0.043,49,223,1.294,1.412,1.193
"a549","chr4-81991102-81991103_06","ENSG00000163297",0.041,37,322,1.549,0.611,0.972
"a549","chr6-3163081-3163082_01","ENSG00000124570",0.843,70,285,1.068,1.215,1.131
"a549","chr6-3163081-3163082_02","ENSG00000124570",0.847,36,449,0.992,0.939,1.005
"a549","chr6-3163081-3163082_03","ENSG00000124570",0.84,39,532,1.024,0.817,1.023
"a549","chr6-3163081-3163082_04","ENSG00000124570",0.845,39,523,0.959,1.077,1.02
"a549","chr6-3163081-3163082_05","ENSG00000124570",0.845,246,19,1.09,1.076,1.142
"a549","chr6-26554297-26554298_01","ENSG00000197409",0,70,253,0,0,0
"a549","chr6-26554297-26554298_06","ENSG00000197409",0,37,396,0,0,0
"a549","chr6-44443600-44443601_01","ENSG00000112759",0.151,37,320,0.946,1.061,0.889
"a549","chr6-44443600-44443601_02","ENSG00000112759",0.155,51,631,0.91,0.567,0.959
"a549","chr6-44443600-44443601_03","ENSG00000112759",0.153,36,312,0.942,1.267,1.043
"a549","chr6-44443600-44443601_04","ENSG00000112759",0.154,97,139,0.849,0.695,1.12
"a549","chr6-44443600-44443601_05","ENSG00000112759",0.153,102,130,0.896,1.024,0.882
"a549","chr7-2394357-2394417_02","ENSG00000002822",0.343,46,449,1.04,0.914,1.043
"a549","chr7-2394357-2394417_07","ENSG00000002822",0.346,54,306,0.92,1.034,1.857
"a549","chr7-2394357-2394417_08","ENSG00000002822",0.343,69,617,0.953,1.204,1.185
"a549","chr7-2394357-2394417_09","ENSG00000002822",0.345,17,325,1.051,1.782,0.835
"a549","chr7-50517714-50517715_01","ENSG00000106070",0.576,85,216,1.059,0.957,0.871
"a549","chr7-50517714-50517715_03","ENSG00000106070",0.575,126,31,1.018,0.96,1.072
"a549","chr7-50517714-50517715_04","ENSG00000106070",0.581,36,455,1.012,0.978,0.91
"a549","chr7-50517714-50517715_10","ENSG00000106070",0.576,36,377,1.01,0.858,0.962
"a549","chr7-100450634-100450635_01","ENSG00000106397",0.298,22,291,1.101,1.061,1.116
"a549","chr7-100450634-100450635_03","ENSG00000106397",0.301,52,166,0.906,0.889,0.806
"a549","chr8-11724777-11724778_01","ENSG00000079459",0.583,42,180,1.078,0.788,1.016
"a549","chr8-11724777-11724778_02","ENSG00000079459",0.583,105,346,0.976,0.978,0.944
"a549","chr8-11724777-11724778_03","ENSG00000079459",0.583,22,319,1.071,0.834,0.909
"a549","chr8-11724777-11724778_04","ENSG00000079459",0.585,25,327,1.029,0.922,1.101
"a549","chr8-11724777-11724778_05","ENSG00000079459",0.582,66,223,0.931,1.214,0.88
"a549","chr8-38089048-38089172_01","ENSG00000156675",0.37,28,169,0.977,0.712,0.867
"a549","chr8-38089048-38089172_02","ENSG00000156675",0.369,59,150,0.926,1.067,0.769
"a549","chr8-38089048-38089172_03","ENSG00000156675",0.373,91,517,1.028,0.94,0.885
"a549","chr8-38089048-38089172_04","ENSG00000156675",0.369,47,503,0.892,0.834,0.969
"a549","chr8-38089048-38089172_11","ENSG00000156675",0.366,72,546,0.944,1.187,0.958
"a549","chr9-124313186-124313187_01","ENSG00000119403",1.41,18,408,1.034,0.967,0.933
"a549","chr9-124313186-124313187_02","ENSG00000119403",1.419,83,269,0.986,0.949,0.939
"a549","chr9-124313186-124313187_06","ENSG00000119403",1.42,13,222,1.001,0.841,0.934
"a549","chr9-124313186-124313187_08","ENSG00000119403",1.417,36,313,0.999,0.817,0.979
"a549","chr9-124313186-124313187_09","ENSG00000119403",1.416,33,370,1.009,0.903,0.926
"a549","chr9-131182496-131182497_01","ENSG00000136830",0.367,16,270,0.914,0.881,0.958
"a549","chr9-131182496-131182497_03","ENSG00000136830",0.379,32,432,0.886,1.709,1.002
"a549","chr9-131182496-131182497_04","ENSG00000136830",0.37,25,338,0.893,0.933,1.148
"a549","chr9-131182496-131182497_05","ENSG00000136830",0.368,24,416,1.072,0.746,1.183
"a549","chr10-88137208-88137288_01","ENSG00000148672",0.342,47,345,0.985,1.086,0.971
"a549","chr10-88137208-88137288_02","ENSG00000148672",0.341,34,457,0.911,0.479,0.952
"a549","chr10-88137208-88137288_03","ENSG00000148672",0.345,54,229,1.012,0.91,1.584
"a549","chr10-88137208-88137288_04","ENSG00000148672",0.345,52,427,0.946,1.229,1.004
"a549","chr10-88137208-88137288_05","ENSG00000148672",0.343,30,217,1.009,0.994,1.446
"a549","chr10-102133820-102133821_01","ENSG00000120053",0.337,20,329,1.005,0.994,0.916
"a549","chr10-102133820-102133821_02","ENSG00000120053",0.339,65,148,0.921,1.152,0.805
"a549","chr10-102133820-102133821_05","ENSG00000120053",0.338,65,226,0.869,1.063,0.864
"a549","chr10-102133820-102133821_08","ENSG00000120053",0.337,64,183,0.995,1.038,0.974
"a549","chr10-102133820-102133821_11","ENSG00000120053",0.338,161,94,1.042,0.962,0.807
"a549","chr11-57224878-57224879_01","ENSG00000134802",0,60,260,2.077,0,0
"a549","chr11-57224878-57224879_02","ENSG00000134802",0,55,353,2.037,0,0
"a549","chr11-57224878-57224879_03","ENSG00000134802",0,98,170,4.97,0,0
"a549","chr11-57224878-57224879_05","ENSG00000134802",0,147,94,0,0,0
"a549","chr11-57224878-57224879_07","ENSG00000134802",0,29,399,0,0,0
"a549","chr11-87912414-87912415_01","ENSG00000109861",0.922,60,282,1.03,0.875,1.038
"a549","chr11-87912414-87912415_02","ENSG00000109861",0.922,38,417,0.988,0.898,0.977
"a549","chr11-87912414-87912415_04","ENSG00000109861",0.927,99,146,1.028,0.909,0.968
"a549","chr11-87912414-87912415_05","ENSG00000109861",0.93,106,554,0.985,0.949,0.984
"a549","chr11-87912414-87912415_07","ENSG00000109861",0.92,32,373,1.012,1.177,1.033
"a549","chr11-134288122-134288123_01","ENSG00000151503",0.522,123,141,1.002,0.926,1.006
"a549","chr11-134288122-134288123_03","ENSG00000151503",0.522,168,42,0.958,1.088,1.035
"a549","chr11-134288122-134288123_05","ENSG00000151503",0.524,38,390,1.043,1.106,1.028
"a549","chr11-134288122-134288123_07","ENSG00000151503",0.525,108,220,1.065,1.054,1
"a549","chr11-134288122-134288123_08","ENSG00000151503",0.518,39,224,1.042,0.975,1.261
"a549","chr12-3982588-3982589_02","ENSG00000111247",0.289,55,223,0.871,1.046,0.831
"a549","chr12-3982588-3982589_03","ENSG00000111247",0.288,109,107,1.14,0.764,1.031
"a549","chr12-3982588-3982589_08","ENSG00000111247",0.288,118,76,1.011,0.922,1.03
"a549","chr12-3982588-3982589_09","ENSG00000111247",0.288,84,420,1.034,1.579,0.893
"a549","chr12-3982588-3982589_10","ENSG00000111247",0.286,49,374,0.995,1.008,0.927
"a549","chr12-4967040-4967183_01","ENSG00000111247",0.29,39,319,0.798,0.959,0.974
"a549","chr12-4967040-4967183_02","ENSG00000111247",0.288,184,377,0.978,0.887,0.918
"a549","chr12-4967040-4967183_03","ENSG00000111247",0.289,55,404,1.001,0.921,0.858
"a549","chr12-4967040-4967183_04","ENSG00000111247",0.287,39,367,0.902,0.819,0.884
"a549","chr12-4967040-4967183_05","ENSG00000111247",0.29,19,276,0.983,1.283,1.069
"a549","chr12-7036715-7036716_01","ENSG00000111639",4.42,23,333,1.017,1.019,1.009
"a549","chr12-7036715-7036716_02","ENSG00000111639",4.416,40,135,1.029,0.946,1.009
"a549","chr12-7036715-7036716_03","ENSG00000111639",4.408,57,441,1.019,0.893,0.962
"a549","chr12-7036715-7036716_04","ENSG00000111639",4.398,51,553,1.006,0.953,0.966
"a549","chr12-7036715-7036716_05","ENSG00000111639",4.418,55,392,0.992,0.908,0.949
"a549","chr12-7126003-7126017_01","ENSG00000111321",0.588,40,509,0.967,0.938,0.976
"a549","chr12-7126003-7126017_02","ENSG00000111321",0.583,68,406,0.985,0.99,0.914
"a549","chr12-7126003-7126017_03","ENSG00000111321",0.589,24,459,1.003,0.718,0.931
"a549","chr12-7126003-7126017_06","ENSG00000111321",0.585,77,191,0.995,0.876,0.923
"a549","chr12-7126003-7126017_09","ENSG00000111321",0.586,104,166,0.967,1.05,1.422
"a549","chr12-8123380-8123544_01","ENSG00000059804",0.035,35,422,0.468,0.282,1.048
"a549","chr12-8123380-8123544_02","ENSG00000059804",0.035,53,245,0.12,0.991,0.493
"a549","chr12-8123380-8123544_03","ENSG00000059804",0.035,66,281,0.407,0.904,0.769
"a549","chr12-8123380-8123544_04","ENSG00000059804",0.035,29,308,0.475,0.941,1.007
"a549","chr12-8123380-8123544_05","ENSG00000059804",0.036,75,648,0.378,1.916,0.713
"a549","chr12-25538947-25538948_01","ENSG00000133703",0.539,45,282,1.079,0.975,1.054
"a549","chr12-25538947-25538948_02","ENSG00000133703",0.538,82,101,0.913,1.139,0.919
"a549","chr12-25538947-25538948_03","ENSG00000133703",0.539,44,467,1,1.1,0.989
"a549","chr12-25538947-25538948_05","ENSG00000133703",0.538,35,464,1.018,0.846,1.073
"a549","chr12-25538947-25538948_07","ENSG00000133703",0.541,57,288,1.033,1.058,0.905
"a549","chr12-47665230-47665231_02","ENSG00000061273",0.278,49,508,0.997,0.93,1.21
"a549","chr12-47665230-47665231_03","ENSG00000061273",0.275,63,142,0.974,1.086,0.874
"a549","chr12-47665230-47665231_04","ENSG00000061273",0.278,46,196,1.011,0.781,0.949
"a549","chr12-47665230-47665231_09","ENSG00000061273",0.277,40,427,0.912,0.736,0.928
"a549","chr13-50697985-50697986_01","ENSG00000123179",0.944,32,170,0.946,0.938,0.784
"a549","chr13-50697985-50697986_03","ENSG00000123179",0.938,146,57,1.024,0.93,1.024
"a549","chr13-50697985-50697986_05","ENSG00000123179",0.941,28,259,0.879,0.882,1.002
"a549","chr13-50697985-50697986_06","ENSG00000123179",0.941,57,147,0.979,0.944,0.969
"a549","chr13-50697985-50697986_13","ENSG00000123179",0.939,21,270,1.01,1.04,1.086
"a549","chr14-23564610-23564700_02","ENSG00000213983",0.066,45,159,1.11,0.845,0.972
"a549","chr14-23564610-23564700_05","ENSG00000213983",0.067,40,324,0.94,1.034,0.605
"a549","chr14-23564610-23564700_06","ENSG00000213983",0.066,52,425,0.947,1.354,1.006
"a549","chr14-23564610-23564700_10","ENSG00000213983",0.067,133,61,0.758,1.088,1.058
"a549","chr14-23564610-23564700_11","ENSG00000213983",0.068,178,48,0.912,1.017,0.628
"a549","chr15-59981721-59981795_01","ENSG00000182718",14.277,26,285,1.004,0.981,1.032
"a549","chr15-59981721-59981795_02","ENSG00000182718",14.273,38,368,0.986,0.964,0.987
"a549","chr15-59981721-59981795_03","ENSG00000182718",14.242,54,303,1,1.017,1.033
"a549","chr15-59981721-59981795_08","ENSG00000182718",14.259,47,443,1.015,0.994,0.998
"a549","chr15-59981721-59981795_09","ENSG00000182718",14.306,28,648,0.948,0.934,1.021
"a549","chr15-69760994-69760995_01","ENSG00000140332",0.067,50,324,1.286,1.063,1.19
"a549","chr15-69760994-69760995_02","ENSG00000140332",0.068,44,311,1.18,0.972,1.056
"a549","chr15-69760994-69760995_03","ENSG00000140332",0.066,54,406,1.154,1.589,1.244
"a549","chr15-69760994-69760995_04","ENSG00000140332",0.067,29,283,1.061,0.952,1.158
"a549","chr15-69760994-69760995_06","ENSG00000140332",0.068,40,508,1.324,1.01,0.846
"a549","chr17-16492746-16492892_01","ENSG00000170315",6.532,58,523,0.973,0.97,0.943
"a549","chr17-16492746-16492892_02","ENSG00000170315",6.491,67,325,0.954,1.064,1.085
"a549","chr17-16492746-16492892_03","ENSG00000170315",6.493,157,43,0.912,1.025,0.968
"a549","chr17-16492746-16492892_04","ENSG00000170315",6.498,37,518,1.019,0.898,0.896
"a549","chr17-16492746-16492892_05","ENSG00000170315",6.485,65,431,1.003,1.039,1.047
"a549","chr17-37774058-37774059_01","ENSG00000131748",0.144,36,497,1.01,1.169,0.871
"a549","chr17-37774058-37774059_02","ENSG00000131748",0.145,22,373,0.947,0.541,1.225
"a549","chr17-37774058-37774059_03","ENSG00000131748",0.14,99,660,1.006,1.098,1.107
"a549","chr17-37774058-37774059_04","ENSG00000131748",0.141,74,425,1.043,1.1,0.98
"a549","chr17-37774058-37774059_07","ENSG00000131748",0.142,189,13,1.533,1.177,1.033
"a549","chr17-46125811-46125834_01","ENSG00000170689",0.156,29,289,1.054,0.885,0.812
"a549","chr17-46125811-46125834_04","ENSG00000170689",0.157,21,249,0.933,0.401,0.975
"a549","chr17-46125811-46125834_11","ENSG00000170689",0.155,214,8,1.049,1.045,1.04
"a549","chr17-48239072-48239272_01","ENSG00000121104",0.007,34,384,1.397,1.97,0.888
"a549","chr17-48239072-48239272_02","ENSG00000121104",0.007,56,400,1.192,0,0.713
"a549","chr17-48239072-48239272_06","ENSG00000121104",0.007,76,506,1.593,0.192,1.424
"a549","chr17-48239072-48239272_08","ENSG00000121104",0.007,125,94,0.751,1.43,1.49
"a549","chr19-1671831-1671832_01","ENSG00000064687",0.037,196,23,0.486,1.082,0.77
"a549","chr19-1671831-1671832_02","ENSG00000064687",0.036,69,299,1.408,1.515,1.422
"a549","chr19-1671831-1671832_03","ENSG00000064687",0.035,64,229,1.149,1.47,1.18
"a549","chr19-1671831-1671832_05","ENSG00000064687",0.037,67,319,0.93,1.292,0.923
"a549","chr19-1671831-1671832_06","ENSG00000064687",0.035,55,317,1.032,2.081,3.217
"a549","chr19-5821791-5821792_01","ENSG00000105355",0.572,122,461,1.012,0.891,0.963
"a549","chr19-5821791-5821792_02","ENSG00000105355",0.573,90,467,0.967,0.886,0.99
"a549","chr19-5821791-5821792_03","ENSG00000105355",0.571,35,342,1.003,0.927,1.298
"a549","chr19-5821791-5821792_11","ENSG00000105355",0.574,44,377,0.971,0.924,0.998
"a549","chr20-42286524-42286525_01","ENSG00000101057",0.898,62,318,0.848,0.856,0.91
"a549","chr20-42286524-42286525_05","ENSG00000101057",0.895,153,23,1.112,1.042,1.075
"a549","chr20-42286524-42286525_06","ENSG00000101057",0.899,52,407,0.838,0.996,1.011
"a549","chr20-42286524-42286525_07","ENSG00000101057",0.904,55,377,0.845,1.065,0.968
"a549","chr20-42286524-42286525_08","ENSG00000101057",0.899,84,100,0.905,0.862,1.034
"a549","chr20-56754700-56754701_01","ENSG00000132819",0.074,39,253,1.283,0.891,1.025
"a549","chr20-56754700-56754701_02","ENSG00000132819",0.077,24,400,0.963,1.249,0.887
"a549","chr20-56754700-56754701_03","ENSG00000132819",0.076,47,510,1.024,0.904,0.984
"a549","chr20-56754700-56754701_04","ENSG00000132819",0.076,33,292,1.025,0.684,1.077
"a549","chr20-56754700-56754701_07","ENSG00000132819",0.074,64,274,1.129,0.842,0.721
"a549","chr22-19158872-19158873_01","ENSG00000184470",0.313,35,484,0.998,2.396,0.981
"a549","chr22-19158872-19158873_02","ENSG00000184470",0.312,47,516,1.067,1.029,0.984
"a549","chr22-19158872-19158873_03","ENSG00000184470",0.316,61,499,1.047,0.972,0.958
"a549","chr22-19158872-19158873_04","ENSG00000184470",0.315,298,18,1.066,0.958,1.036
"a549","chr22-19158872-19158873_05","ENSG00000184470",0.313,49,444,0.943,0.954,0.933
"a549","chr10-71337586-71337587_02","ENSG00000156574",0,68,238,1.358,0,0
"a549","chr10-71337586-71337587_03","ENSG00000156574",0,36,308,0,0,0
"a549","chr10-71337586-71337587_06","ENSG00000156574",0,34,584,1.244,0,2.416
"a549","chr10-71337586-71337587_07","ENSG00000156574",0,33,351,0,0,0
"a549","chr10-71337586-71337587_08","ENSG00000156574",0,52,474,2.075,0,0
"a549","chr12-108605281-108605282_01","ENSG00000075035",0,142,38,0,0,0
"a549","chr12-108605281-108605282_03","ENSG00000075035",0,58,341,0,0,0
"a549","chr12-108605281-108605282_05","ENSG00000075035",0,31,354,0,0,0
"a549","chr12-108605281-108605282_10","ENSG00000075035",0,42,422,0,0,0
"a549","chr15-28053930-28053931_01","ENSG00000104044",0.001,41,440,3.744,0,0
"a549","chr15-28053930-28053931_02","ENSG00000104044",0.002,50,380,1.309,40.266,0
"a549","chr15-28053930-28053931_04","ENSG00000104044",0.002,39,569,1.046,0,2.148
"a549","chr15-28053930-28053931_07","ENSG00000104044",0.002,51,384,0,0,1.324
"a549","chr15-28053930-28053931_09","ENSG00000104044",0.002,32,427,2.72,0,1.433
"a549","chr16-56246205-56246206_06","ENSG00000087253",0.131,46,293,1.143,1.207,1.249
"a549","chr16-56246205-56246206_08","ENSG00000087253",0.133,94,257,0.899,0.974,0.78
"a549","chr16-56246205-56246206_09","ENSG00000087253",0.132,54,260,1.027,1.045,0.81
